customer_id,credit_score,risk_category,debt_to_income_ratio,previous_delinquency_count
96,671,Low Risk,0.3727,1
97,706,Low Risk,0.3412,0
98,537,High Risk,0.1278,0
99,690,Low Risk,0.2816,1
100,751,Very Low Risk,0.3484,0
101,850,Very Low Risk,0.1763,0
102,693,Low Risk,0.3675,0
103,558,Medium Risk,0.4711,1
104,503,High Risk,0.2763,4
105,657,Low Risk,0.1691,1
106,539,High Risk,0.1749,0
107,587,Medium Risk,0.366,0
108,754,Very Low Risk,0.2295,0
109,840,Very Low Risk,0.3905,0
110,742,Low Risk,0.1196,0
111,660,Low Risk,0.2622,0
112,664,Low Risk,0.2873,0
113,405,Very High Risk,0.3357,1
114,757,Very Low Risk,0.4751,0
115,665,Low Risk,0.0896,1
116,752,Very Low Risk,0.5408,1
117,593,Medium Risk,0.4118,2
118,677,Low Risk,0.1605,1
119,551,Medium Risk,0.2573,5
120,751,Very Low Risk,0.4378,0
121,650,Low Risk,0.315,0
122,659,Low Risk,0.2081,0
123,668,Low Risk,0.2474,0
124,706,Low Risk,0.2242,1
125,700,Low Risk,0.5124,1
126,680,Low Risk,0.3409,1
127,711,Low Risk,0.361,0
128,739,Low Risk,0.3848,1
129,616,Medium Risk,0.2006,2
130,761,Very Low Risk,0.3943,1
131,599,Medium Risk,0.138,2
132,681,Low Risk,0.5212,0
133,728,Low Risk,0.4604,1
134,712,Low Risk,0.5078,1
135,850,Very Low Risk,0.2975,0
136,645,Medium Risk,0.3773,0
137,675,Low Risk,0.279,0
138,823,Very Low Risk,0.341,1
139,764,Very Low Risk,0.3698,0
140,746,Low Risk,0.1799,1
141,765,Very Low Risk,0.396,0
142,777,Very Low Risk,0.3597,0
143,606,Medium Risk,0.2501,2
144,703,Low Risk,0.2082,1
145,683,Low Risk,0.2415,0
146,629,Medium Risk,0.1665,0
147,739,Low Risk,0.2725,0
148,695,Low Risk,0.5213,1
149,707,Low Risk,0.3194,0
150,668,Low Risk,0.3871,1
151,722,Low Risk,0.4402,0
152,677,Low Risk,0.1549,0
153,777,Very Low Risk,0.1555,0
154,646,Medium Risk,0.2238,3
155,792,Very Low Risk,0.2359,0
156,758,Very Low Risk,0.3625,1
157,747,Low Risk,0.5456,1
158,687,Low Risk,0.1426,1
159,670,Low Risk,0.3996,0
160,713,Low Risk,0.5037,0
161,684,Low Risk,0.2084,0
162,759,Very Low Risk,0.2392,1
163,577,Medium Risk,0.3625,3
164,456,High Risk,0.1732,0
165,728,Low Risk,0.4607,1
166,562,Medium Risk,0.1258,3
167,809,Very Low Risk,0.3819,0
168,631,Medium Risk,0.4771,2
169,548,High Risk,0.0375,1
170,627,Medium Risk,0.4353,1
171,773,Very Low Risk,0.1121,0
172,850,Very Low Risk,0.2177,0
173,600,Medium Risk,0.4921,2
174,738,Low Risk,0.3773,0
175,589,Medium Risk,0.4193,3
176,538,High Risk,0.0551,0
177,698,Low Risk,0.3064,1
178,683,Low Risk,0.3576,1
179,723,Low Risk,0.2356,1
180,628,Medium Risk,0.3799,1
181,657,Low Risk,0.1594,1
182,682,Low Risk,0.2818,1
183,641,Medium Risk,0.1536,3
184,648,Medium Risk,0.2926,1
185,756,Very Low Risk,0.2853,1
186,480,High Risk,0.0653,6
187,654,Low Risk,0.1144,1
188,706,Low Risk,0.2397,0
189,513,High Risk,0.1697,4
190,713,Low Risk,0.3936,1
191,651,Low Risk,0.3471,3
192,583,Medium Risk,0.3817,2
193,748,Low Risk,0.3342,1
194,705,Low Risk,0.3266,1
195,736,Low Risk,0.2415,1
196,693,Low Risk,0.3224,0
197,478,High Risk,0.2526,5
198,525,High Risk,0.2504,1
199,756,Very Low Risk,0.3357,0
200,725,Low Risk,0.4309,0
201,817,Very Low Risk,0.1884,0
202,632,Medium Risk,0.1539,2
203,671,Low Risk,0.5313,0
204,786,Very Low Risk,0.2399,0
205,683,Low Risk,0.4174,1
206,740,Low Risk,0.0543,1
207,571,Medium Risk,0.1655,2
208,682,Low Risk,0.3973,1
209,800,Very Low Risk,0.3976,0
210,706,Low Risk,0.2767,0
211,667,Low Risk,0.4399,0
212,634,Medium Risk,0.1678,1
213,561,Medium Risk,0.5082,3
214,574,Medium Risk,0.2168,0
215,649,Medium Risk,0.322,2
216,626,Medium Risk,0.4796,0
217,850,Very Low Risk,0.3176,0
218,792,Very Low Risk,0.0732,0
219,595,Medium Risk,0.1619,3
220,676,Low Risk,0.3172,1
221,831,Very Low Risk,0.2762,0
222,631,Medium Risk,0.3642,0
223,769,Very Low Risk,0.3245,1
224,552,Medium Risk,0.1196,6
225,764,Very Low Risk,0.1799,1
226,614,Medium Risk,0.1112,0
227,643,Medium Risk,0.3017,1
228,685,Low Risk,0.1533,0
229,608,Medium Risk,0.3812,2
230,740,Low Risk,0.3792,1
231,748,Low Risk,0.5565,1
232,665,Low Risk,0.4128,1
233,704,Low Risk,0.1513,1
234,738,Low Risk,0.3489,1
235,671,Low Risk,0.5431,1
236,548,High Risk,0.3334,1
237,704,Low Risk,0.1495,0
238,565,Medium Risk,0.3204,3
239,850,Very Low Risk,0.2662,0
240,727,Low Risk,0.3352,0
241,788,Very Low Risk,0.2722,0
242,687,Low Risk,0.3812,0
243,685,Low Risk,0.2677,0
244,735,Low Risk,0.3701,0
245,752,Very Low Risk,0.4895,1
246,793,Very Low Risk,0.0696,0
247,786,Very Low Risk,0.2988,0
248,595,Medium Risk,0.1018,3
249,716,Low Risk,0.3709,1
250,638,Medium Risk,0.2605,2
251,717,Low Risk,0.1951,1
252,745,Low Risk,0.3633,0
253,754,Very Low Risk,0.2786,1
254,644,Medium Risk,0.2344,3
255,750,Very Low Risk,0.3371,0
256,536,High Risk,0.0889,6
257,741,Low Risk,0.3587,0
258,681,Low Risk,0.4178,1
259,572,Medium Risk,0.4661,0
260,649,Medium Risk,0.2644,0
261,613,Medium Risk,0.1909,2
262,614,Medium Risk,0.4355,3
263,601,Medium Risk,0.4837,1
264,706,Low Risk,0.3434,1
265,670,Low Risk,0.2058,1
266,756,Very Low Risk,0.2824,1
267,721,Low Risk,0.3658,1
268,767,Very Low Risk,0.1465,0
269,605,Medium Risk,0.1699,1
270,823,Very Low Risk,0.4027,0
271,603,Medium Risk,0.4527,2
272,674,Low Risk,0.3143,1
273,709,Low Risk,0.4036,0
274,763,Very Low Risk,0.4544,0
275,594,Medium Risk,0.1459,2
276,733,Low Risk,0.3807,1
277,769,Very Low Risk,0.1161,1
278,763,Very Low Risk,0.1185,0
279,683,Low Risk,0.0762,0
280,706,Low Risk,0.3322,1
281,711,Low Risk,0.0946,0
282,658,Low Risk,0.1242,3
283,767,Very Low Risk,0.1708,0
284,524,High Risk,0.2774,0
285,540,High Risk,0.0336,0
286,726,Low Risk,0.3787,0
287,612,Medium Risk,0.2332,1
288,763,Very Low Risk,0.3603,1
289,635,Medium Risk,0.2091,1
290,752,Very Low Risk,0.1913,1
291,680,Low Risk,0.5187,0
292,318,Very High Risk,0.3073,3
293,777,Very Low Risk,0.0689,0
294,601,Medium Risk,0.1037,3
295,767,Very Low Risk,0.1498,0
296,620,Medium Risk,0.2087,2
297,464,High Risk,0.2548,4
298,743,Low Risk,0.3048,1
299,690,Low Risk,0.485,1
300,698,Low Risk,0.2636,1
301,830,Very Low Risk,0.2627,0
302,833,Very Low Risk,0.1774,0
303,711,Low Risk,0.1974,1
304,717,Low Risk,0.1351,0
305,679,Low Risk,0.2386,0
306,638,Medium Risk,0.4263,0
307,850,Very Low Risk,0.2293,0
308,814,Very Low Risk,0.2985,0
309,609,Medium Risk,0.1647,2
310,718,Low Risk,0.1778,1
311,733,Low Risk,0.151,1
312,700,Low Risk,0.5469,1
313,653,Low Risk,0.5038,0
314,604,Medium Risk,0.3413,0
315,706,Low Risk,0.1227,0
316,697,Low Risk,0.3654,1
317,829,Very Low Risk,0.4181,0
318,659,Low Risk,0.2141,3
319,737,Low Risk,0.2783,1
320,597,Medium Risk,0.1701,2
321,685,Low Risk,0.2887,1
322,840,Very Low Risk,0.055,0
323,634,Medium Risk,0.2836,2
324,773,Very Low Risk,0.5503,0
325,792,Very Low Risk,0.1873,0
326,706,Low Risk,0.5327,0
327,594,Medium Risk,0.4865,0
328,697,Low Risk,0.1955,0
329,613,Medium Risk,0.4301,2
330,757,Very Low Risk,0.3327,0
331,708,Low Risk,0.429,1
332,768,Very Low Risk,0.1471,1
333,725,Low Risk,0.4591,1
334,625,Medium Risk,0.192,1
335,717,Low Risk,0.1104,0
336,850,Very Low Risk,0.4737,0
337,742,Low Risk,0.2776,1
338,719,Low Risk,0.3614,1
339,623,Medium Risk,0.3407,2
340,798,Very Low Risk,0.1885,0
341,711,Low Risk,0.209,0
342,665,Low Risk,0.2528,1
343,512,High Risk,0.2096,1
344,643,Medium Risk,0.4965,3
345,714,Low Risk,0.1308,0
346,711,Low Risk,0.3088,0
347,718,Low Risk,0.1613,0
348,555,Medium Risk,0.5317,1
349,660,Low Risk,0.1498,0
350,677,Low Risk,0.2237,0
351,640,Medium Risk,0.5057,1
352,698,Low Risk,0.4312,1
353,746,Low Risk,0.1051,1
354,691,Low Risk,0.1742,1
355,695,Low Risk,0.3169,1
356,740,Low Risk,0.1141,0
357,672,Low Risk,0.3338,1
358,698,Low Risk,0.2671,1
359,332,Very High Risk,0.4476,3
360,456,High Risk,0.0362,10
361,605,Medium Risk,0.1452,1
362,619,Medium Risk,0.1808,3
363,651,Low Risk,0.2799,1
364,588,Medium Risk,0.4196,0
365,850,Very Low Risk,0.3027,0
366,781,Very Low Risk,0.1479,0
367,713,Low Risk,0.372,1
368,626,Medium Risk,0.3208,2
369,738,Low Risk,0.3456,1
370,581,Medium Risk,0.1503,0
371,835,Very Low Risk,0.4313,0
372,740,Low Risk,0.2886,1
373,586,Medium Risk,0.112,1
374,657,Low Risk,0.2304,1
375,583,Medium Risk,0.1201,2
376,610,Medium Risk,0.5449,0
377,645,Medium Risk,0.4337,1
378,735,Low Risk,0.4183,0
379,592,Medium Risk,0.1027,0
380,462,High Risk,0.2253,4
381,684,Low Risk,0.1848,1
382,576,Medium Risk,0.3876,1
383,671,Low Risk,0.547,0
384,616,Medium Risk,0.3062,0
385,727,Low Risk,0.3845,0
386,698,Low Risk,0.2436,1
387,736,Low Risk,0.3075,0
388,723,Low Risk,0.3128,1
389,850,Very Low Risk,0.2298,0
390,572,Medium Risk,0.4807,2
391,649,Medium Risk,0.3023,1
392,627,Medium Risk,0.2975,2
393,631,Medium Risk,0.364,0
394,521,High Risk,0.1099,5
395,605,Medium Risk,0.1685,0
396,674,Low Risk,0.4628,1
397,591,Medium Risk,0.2356,1
398,696,Low Risk,0.1377,0
399,759,Very Low Risk,0.395,1
400,673,Low Risk,0.1089,1
401,672,Low Risk,0.4502,1
402,761,Very Low Risk,0.4005,0
403,588,Medium Risk,0.1624,1
404,609,Medium Risk,0.4036,3
405,786,Very Low Risk,0.3439,0
406,639,Medium Risk,0.5288,2
407,769,Very Low Risk,0.4315,0
408,464,High Risk,0.5393,1
409,702,Low Risk,0.1105,1
410,783,Very Low Risk,0.4246,1
411,711,Low Risk,0.384,1
412,772,Very Low Risk,0.345,1
413,637,Medium Risk,0.2504,2
414,784,Very Low Risk,0.4195,0
415,840,Very Low Risk,0.5902,0
416,684,Low Risk,0.4441,1
417,688,Low Risk,0.3554,0
418,716,Low Risk,0.3902,1
419,655,Low Risk,0.3637,1
420,523,High Risk,0.2448,1
421,614,Medium Risk,0.1755,1
422,575,Medium Risk,0.4589,1
423,660,Low Risk,0.4485,0
424,733,Low Risk,0.256,0
425,706,Low Risk,0.1693,0
426,625,Medium Risk,0.5198,2
427,692,Low Risk,0.1313,1
428,658,Low Risk,0.2177,1
429,688,Low Risk,0.3986,0
430,571,Medium Risk,0.1794,3
431,583,Medium Risk,0.3485,1
432,655,Low Risk,0.3937,2
433,665,Low Risk,0.4498,1
434,529,High Risk,0.4275,0
435,586,Medium Risk,0.2273,3
436,720,Low Risk,0.1629,0
437,602,Medium Risk,0.2413,1
438,758,Very Low Risk,0.4696,1
439,649,Medium Risk,0.3995,1
440,787,Very Low Risk,0.3211,0
441,724,Low Risk,0.4516,0
442,723,Low Risk,0.1614,0
443,754,Very Low Risk,0.1632,0
444,559,Medium Risk,0.4486,1
445,537,High Risk,0.3935,2
446,681,Low Risk,0.1587,0
447,573,Medium Risk,0.4704,2
448,648,Medium Risk,0.1417,3
449,656,Low Risk,0.2159,1
450,615,Medium Risk,0.3269,3
451,664,Low Risk,0.2472,0
452,632,Medium Risk,0.3254,0
453,761,Very Low Risk,0.1793,0
454,641,Medium Risk,0.3558,0
455,626,Medium Risk,0.1617,3
456,799,Very Low Risk,0.3019,0
457,782,Very Low Risk,0.539,1
458,820,Very Low Risk,0.1865,0
459,752,Very Low Risk,0.3124,1
460,658,Low Risk,0.4306,0
461,632,Medium Risk,0.4728,2
462,731,Low Risk,0.1624,0
463,797,Very Low Risk,0.2445,0
464,762,Very Low Risk,0.2884,0
465,671,Low Risk,0.3245,1
466,648,Medium Risk,0.3349,1
467,648,Medium Risk,0.4038,2
468,806,Very Low Risk,0.1503,0
469,651,Low Risk,0.4078,3
470,664,Low Risk,0.5006,0
471,569,Medium Risk,0.3142,1
472,850,Very Low Risk,0.2038,0
473,584,Medium Risk,0.1782,2
474,606,Medium Risk,0.1963,2
475,703,Low Risk,0.1828,0
476,616,Medium Risk,0.1606,2
477,824,Very Low Risk,0.1943,0
478,662,Low Risk,0.2608,0
479,594,Medium Risk,0.3747,1
480,610,Medium Risk,0.5183,2
481,579,Medium Risk,0.1519,0
482,629,Medium Risk,0.1549,2
483,625,Medium Risk,0.4394,0
484,756,Very Low Risk,0.5485,1
485,554,Medium Risk,0.0972,2
486,624,Medium Risk,0.3307,3
487,850,Very Low Risk,0.1926,0
488,790,Very Low Risk,0.3244,1
489,635,Medium Risk,0.2713,3
490,794,Very Low Risk,0.2839,0
491,728,Low Risk,0.2369,0
492,754,Very Low Risk,0.4898,0
493,784,Very Low Risk,0.2522,0
494,722,Low Risk,0.4349,0
495,720,Low Risk,0.2762,1
496,615,Medium Risk,0.303,3
497,629,Medium Risk,0.3964,1
498,632,Medium Risk,0.2383,1
499,564,Medium Risk,0.1426,1
500,670,Low Risk,0.2751,1
501,531,High Risk,0.3532,1
502,716,Low Risk,0.4721,0
503,808,Very Low Risk,0.289,0
504,731,Low Risk,0.3676,1
505,557,Medium Risk,0.2766,3
506,651,Low Risk,0.1021,2
507,659,Low Risk,0.3251,1
508,640,Medium Risk,0.5335,2
509,605,Medium Risk,0.2863,1
510,619,Medium Risk,0.2327,3
511,850,Very Low Risk,0.4043,0
512,683,Low Risk,0.1723,0
513,844,Very Low Risk,0.2841,0
514,658,Low Risk,0.485,1
515,827,Very Low Risk,0.4174,0
516,820,Very Low Risk,0.0904,0
517,708,Low Risk,0.2704,0
518,758,Very Low Risk,0.2929,1
519,815,Very Low Risk,0.217,0
520,620,Medium Risk,0.1533,3
521,788,Very Low Risk,0.1638,0
522,682,Low Risk,0.4497,0
523,486,High Risk,0.1391,3
524,747,Low Risk,0.4507,0
525,685,Low Risk,0.066,1
526,804,Very Low Risk,0.2464,0
527,787,Very Low Risk,0.2348,0
528,530,High Risk,0.2842,1
529,730,Low Risk,0.4398,0
530,625,Medium Risk,0.4921,3
531,775,Very Low Risk,0.2224,0
532,706,Low Risk,0.3984,1
533,619,Medium Risk,0.1182,0
534,656,Low Risk,0.4612,1
535,708,Low Risk,0.4243,1
536,689,Low Risk,0.1239,0
537,573,Medium Risk,0.1623,2
538,761,Very Low Risk,0.4054,1
539,720,Low Risk,0.228,1
540,688,Low Risk,0.1743,1
541,775,Very Low Risk,0.2287,0
542,783,Very Low Risk,0.1424,1
543,792,Very Low Risk,0.382,0
544,642,Medium Risk,0.5245,3
545,587,Medium Risk,0.1637,3
546,724,Low Risk,0.5873,1
547,600,Medium Risk,0.2826,1
548,828,Very Low Risk,0.3262,0
549,623,Medium Risk,0.1348,0
550,767,Very Low Risk,0.5688,0
551,652,Low Risk,0.1141,1
552,571,Medium Risk,0.4903,3
553,594,Medium Risk,0.5213,2
554,752,Very Low Risk,0.1221,0
555,594,Medium Risk,0.1285,0
556,653,Low Risk,0.3781,1
557,653,Low Risk,0.3817,2
558,773,Very Low Risk,0.378,1
559,841,Very Low Risk,0.237,0
560,677,Low Risk,0.2517,0
561,500,High Risk,0.5756,3
562,619,Medium Risk,0.3432,3
563,690,Low Risk,0.3939,0
564,591,Medium Risk,0.2739,3
565,617,Medium Risk,0.176,2
566,759,Very Low Risk,0.1983,0
567,772,Very Low Risk,0.277,0
568,764,Very Low Risk,0.3987,0
569,673,Low Risk,0.3188,1
570,730,Low Risk,0.1301,1
571,738,Low Risk,0.3869,1
572,555,Medium Risk,0.2876,3
573,637,Medium Risk,0.314,2
574,595,Medium Risk,0.3917,2
575,780,Very Low Risk,0.3052,0
576,616,Medium Risk,0.4853,3
577,659,Low Risk,0.365,1
578,688,Low Risk,0.5323,1
579,640,Medium Risk,0.4655,1
580,612,Medium Risk,0.4315,2
581,770,Very Low Risk,0.247,1
582,683,Low Risk,0.1894,0
583,689,Low Risk,0.4363,1
584,697,Low Risk,0.2727,1
585,651,Low Risk,0.1695,1
586,617,Medium Risk,0.3382,0
587,772,Very Low Risk,0.4187,1
588,722,Low Risk,0.261,1
589,695,Low Risk,0.223,0
590,708,Low Risk,0.2876,0
591,730,Low Risk,0.128,0
592,635,Medium Risk,0.4366,3
593,575,Medium Risk,0.3017,3
594,776,Very Low Risk,0.3124,0
595,583,Medium Risk,0.3104,1
596,673,Low Risk,0.4383,0
597,519,High Risk,0.0393,0
598,640,Medium Risk,0.2477,3
599,645,Medium Risk,0.5185,1
600,614,Medium Risk,0.3893,0
601,684,Low Risk,0.5495,0
602,733,Low Risk,0.5089,1
603,619,Medium Risk,0.0243,2
604,627,Medium Risk,0.3224,1
605,685,Low Risk,0.3557,1
606,805,Very Low Risk,0.1772,0
607,612,Medium Risk,0.4569,0
608,463,High Risk,0.2619,6
609,565,Medium Risk,0.2415,0
610,688,Low Risk,0.3728,1
611,850,Very Low Risk,0.2893,0
612,592,Medium Risk,0.1764,1
613,650,Low Risk,0.1261,2
614,805,Very Low Risk,0.4754,0
615,629,Medium Risk,0.1939,0
616,660,Low Risk,0.511,0
617,702,Low Risk,0.3711,0
618,739,Low Risk,0.2059,1
619,710,Low Risk,0.2161,0
620,648,Medium Risk,0.2139,1
621,596,Medium Risk,0.1135,3
622,661,Low Risk,0.1959,1
623,677,Low Risk,0.4476,1
624,710,Low Risk,0.1832,1
625,656,Low Risk,0.1356,3
626,715,Low Risk,0.3488,0
627,727,Low Risk,0.1282,0
628,638,Medium Risk,0.2918,1
629,803,Very Low Risk,0.439,0
630,734,Low Risk,0.5423,0
631,609,Medium Risk,0.5155,1
632,463,High Risk,0.2264,8
633,772,Very Low Risk,0.3107,0
634,565,Medium Risk,0.1834,1
635,645,Medium Risk,0.4582,1
636,594,Medium Risk,0.4211,2
637,746,Low Risk,0.2137,0
638,699,Low Risk,0.2108,1
639,752,Very Low Risk,0.481,0
640,653,Low Risk,0.114,0
641,577,Medium Risk,0.4523,2
642,582,Medium Risk,0.467,2
643,746,Low Risk,0.2024,1
644,658,Low Risk,0.2265,0
645,653,Low Risk,0.404,2
646,601,Medium Risk,0.4123,0
647,850,Very Low Risk,0.3486,0
648,567,Medium Risk,0.3374,3
649,850,Very Low Risk,0.3373,0
650,747,Low Risk,0.153,1
651,505,High Risk,0.1516,3
652,565,Medium Risk,0.2361,3
653,850,Very Low Risk,0.3446,0
654,693,Low Risk,0.3854,1
655,581,Medium Risk,0.4843,0
656,690,Low Risk,0.5429,1
657,718,Low Risk,0.4372,1
658,535,High Risk,0.1375,2
659,630,Medium Risk,0.2278,3
660,552,Medium Risk,0.294,2
661,669,Low Risk,0.4081,0
662,594,Medium Risk,0.3729,1
663,660,Low Risk,0.1098,1
664,640,Medium Risk,0.3848,1
665,695,Low Risk,0.1248,0
666,618,Medium Risk,0.4893,3
667,558,Medium Risk,0.5253,2
668,755,Very Low Risk,0.4374,1
669,671,Low Risk,0.4357,3
670,802,Very Low Risk,0.2472,0
671,697,Low Risk,0.2106,1
672,845,Very Low Risk,0.3896,0
673,640,Medium Risk,0.3089,1
674,850,Very Low Risk,0.3643,0
675,603,Medium Risk,0.3101,1
676,643,Medium Risk,0.4653,0
677,609,Medium Risk,0.1635,2
678,707,Low Risk,0.3757,1
679,695,Low Risk,0.1761,0
680,603,Medium Risk,0.136,0
681,572,Medium Risk,0.1285,0
682,724,Low Risk,0.153,1
683,687,Low Risk,0.4098,1
684,562,Medium Risk,0.497,2
685,609,Medium Risk,0.335,2
686,850,Very Low Risk,0.3513,0
687,728,Low Risk,0.1764,0
688,640,Medium Risk,0.1614,1
689,743,Low Risk,0.2486,1
690,850,Very Low Risk,0.185,0
691,627,Medium Risk,0.0923,3
692,506,High Risk,0.2729,0
693,711,Low Risk,0.2804,0
694,773,Very Low Risk,0.4247,0
695,660,Low Risk,0.3774,0
696,716,Low Risk,0.4072,1
697,764,Very Low Risk,0.2523,0
698,673,Low Risk,0.2001,0
699,622,Medium Risk,0.1948,2
700,693,Low Risk,0.3456,0
701,729,Low Risk,0.2997,0
702,767,Very Low Risk,0.3713,0
703,721,Low Risk,0.3709,1
704,720,Low Risk,0.3321,0
705,801,Very Low Risk,0.2734,0
706,849,Very Low Risk,0.583,0
707,742,Low Risk,0.2314,0
708,591,Medium Risk,0.1003,0
709,666,Low Risk,0.4462,1
710,664,Low Risk,0.3565,0
711,850,Very Low Risk,0.1918,0
712,713,Low Risk,0.2468,1
713,678,Low Risk,0.2855,0
714,728,Low Risk,0.5076,1
715,637,Medium Risk,0.4024,1
716,811,Very Low Risk,0.2508,0
717,698,Low Risk,0.2127,1
718,605,Medium Risk,0.5471,2
719,437,Very High Risk,0.1917,5
720,660,Low Risk,0.4732,1
721,592,Medium Risk,0.3114,2
722,744,Low Risk,0.2979,0
723,850,Very Low Risk,0.5577,0
724,812,Very Low Risk,0.2944,0
725,603,Medium Risk,0.3523,2
726,688,Low Risk,0.3047,0
727,739,Low Risk,0.2334,1
728,681,Low Risk,0.1573,0
729,732,Low Risk,0.2285,1
730,636,Medium Risk,0.4417,3
731,765,Very Low Risk,0.2291,0
732,643,Medium Risk,0.2738,2
733,713,Low Risk,0.3618,0
734,738,Low Risk,0.482,0
735,696,Low Risk,0.2279,1
736,742,Low Risk,0.3507,1
737,698,Low Risk,0.1804,0
738,725,Low Risk,0.1675,1
739,850,Very Low Risk,0.315,0
740,598,Medium Risk,0.3398,3
741,793,Very Low Risk,0.1701,0
742,693,Low Risk,0.2618,0
743,614,Medium Risk,0.1057,0
744,606,Medium Risk,0.1083,1
745,630,Medium Risk,0.3747,2
746,736,Low Risk,0.3847,1
747,530,High Risk,0.3138,2
748,762,Very Low Risk,0.067,0
749,749,Low Risk,0.2637,0
750,670,Low Risk,0.471,1
751,761,Very Low Risk,0.5183,1
752,678,Low Risk,0.4308,1
753,609,Medium Risk,0.5366,3
754,678,Low Risk,0.3476,3
755,734,Low Risk,0.3762,1
756,712,Low Risk,0.2878,1
757,643,Medium Risk,0.3959,0
758,792,Very Low Risk,0.532,0
759,683,Low Risk,0.3294,0
760,573,Medium Risk,0.2199,3
761,621,Medium Risk,0.2049,0
762,779,Very Low Risk,0.4304,1
763,653,Low Risk,0.2446,3
764,600,Medium Risk,0.3475,0
765,596,Medium Risk,0.2032,0
766,671,Low Risk,0.1602,1
767,646,Medium Risk,0.4034,3
768,723,Low Risk,0.2401,0
769,554,Medium Risk,0.2283,1
770,624,Medium Risk,0.334,3
771,674,Low Risk,0.3009,1
772,711,Low Risk,0.3603,0
773,482,High Risk,0.1468,1
774,569,Medium Risk,0.4094,0
775,653,Low Risk,0.2129,1
776,599,Medium Risk,0.2865,1
777,773,Very Low Risk,0.158,0
778,685,Low Risk,0.2682,0
779,652,Low Risk,0.1489,1
780,676,Low Risk,0.2326,0
781,627,Medium Risk,0.27,3
782,703,Low Risk,0.3374,0
783,580,Medium Risk,0.2552,2
784,691,Low Risk,0.1401,0
785,702,Low Risk,0.1089,1
786,574,Medium Risk,0.0854,3
787,836,Very Low Risk,0.3823,0
788,739,Low Risk,0.1191,0
789,612,Medium Risk,0.166,2
790,684,Low Risk,0.4951,0
791,585,Medium Risk,0.4371,1
