payment_id,loan_id,payment_date,amount_due,amount_paid,days_past_due
54,6,2025-08-27,120.51,120.51,0
55,6,2025-09-22,120.51,120.51,0
56,6,2025-10-22,120.51,120.51,0
57,6,2025-11-27,120.51,120.51,0
58,6,2025-12-23,120.51,120.51,0
59,7,2025-07-25,156.84,156.84,0
60,7,2025-08-26,156.84,156.84,0
61,7,2025-09-23,156.84,156.84,0
62,7,2025-10-24,156.84,156.84,0
63,7,2025-11-28,156.84,156.84,0
64,7,2025-12-22,156.84,156.84,0
65,8,2025-04-23,508.5,142.32,85
66,8,2025-02-27,508.5,508.5,0
67,8,2025-06-18,508.5,452.5,87
68,8,2025-04-27,508.5,508.5,0
69,8,2025-05-25,508.5,508.5,0
70,8,2025-06-28,508.5,508.5,0
71,8,2025-07-27,508.5,508.5,0
72,8,2025-08-24,508.5,508.5,0
73,8,2025-09-25,508.5,508.5,0
74,8,2026-01-10,508.5,450.74,77
75,8,2025-11-27,508.5,508.5,0
76,8,2025-12-22,508.5,508.5,0
77,9,2025-09-26,607.94,607.94,0
78,9,2025-10-27,607.94,607.94,0
79,9,2025-11-22,607.94,607.94,0
80,9,2025-12-26,607.94,607.94,0
81,10,2024-09-23,570.88,570.88,0
82,10,2024-10-27,570.88,570.88,0
83,10,2024-11-23,570.88,570.88,0
84,10,2024-12-25,570.88,570.88,0
85,10,2025-01-24,570.88,570.88,0
86,10,2025-02-23,570.88,570.88,0
87,10,2025-03-28,570.88,570.88,0
88,10,2025-04-22,570.88,570.88,0
89,10,2025-05-22,570.88,570.88,0
90,10,2025-06-25,570.88,570.88,0
91,10,2025-07-28,570.88,570.88,0
92,10,2025-08-27,570.88,570.88,0
93,10,2025-09-23,570.88,570.88,0
94,10,2025-10-27,570.88,570.88,0
95,10,2025-11-25,570.88,570.88,0
96,10,2025-12-22,570.88,570.88,0
97,11,2024-02-28,358.27,358.27,0
98,11,2024-03-24,358.27,358.27,0
99,11,2024-04-22,358.27,358.27,0
100,11,2024-05-23,358.27,358.27,0
101,11,2024-06-26,358.27,358.27,0
102,11,2024-07-24,358.27,358.27,0
103,11,2024-08-22,358.27,358.27,0
104,11,2024-09-23,358.27,358.27,0
105,11,2024-10-22,358.27,358.27,0
106,11,2024-11-24,358.27,358.27,0
107,11,2024-12-27,358.27,358.27,0
108,11,2025-01-23,358.27,358.27,0
109,11,2025-02-28,358.27,358.27,0
110,11,2025-03-28,358.27,358.27,0
111,11,2025-05-16,358.27,289.83,23
112,11,2025-05-23,358.27,358.27,0
113,11,2025-08-19,358.27,107.28,52
114,11,2025-07-23,358.27,358.27,0
115,11,2025-08-28,358.27,358.27,0
116,11,2025-09-22,358.27,358.27,0
117,11,2025-10-27,358.27,358.27,0
118,11,2025-11-28,358.27,358.27,0
119,11,2025-12-22,358.27,358.27,0
120,12,2025-06-22,200.13,200.13,0
121,12,2025-07-28,200.13,200.13,0
122,12,2025-08-22,200.13,200.13,0
123,12,2025-09-27,200.13,200.13,0
124,12,2025-10-24,200.13,200.13,0
125,12,2026-01-15,200.13,172.53,54
126,12,2025-12-23,200.13,200.13,0
127,14,2024-11-09,1900.15,1574.81,45
128,14,2024-10-23,1900.15,1900.15,0
129,14,2024-11-23,1900.15,1900.15,0
130,14,2024-12-28,1900.15,1900.15,0
131,14,2025-01-22,1900.15,1900.15,0
132,14,2025-02-27,1900.15,1900.15,0
133,14,2025-03-26,1900.15,1900.15,0
134,14,2025-04-22,1900.15,1900.15,0
135,14,2025-05-27,1900.15,1900.15,0
136,14,2025-06-25,1900.15,1900.15,0
137,14,2025-08-03,1900.15,1634.49,12
138,14,2025-08-24,1900.15,1900.15,0
139,14,2025-09-24,1900.15,1900.15,0
140,14,2025-10-28,1900.15,1900.15,0
141,14,2026-01-06,1900.15,1731.11,45
142,14,2025-12-27,1900.15,1900.15,0
143,15,2025-02-22,382.58,382.58,0
144,15,2025-03-22,382.58,382.58,0
145,15,2025-04-28,382.58,382.58,0
146,15,2025-08-01,382.58,341.83,66
147,15,2025-06-27,382.58,382.58,0
148,15,2025-07-22,382.58,382.58,0
149,15,2025-08-23,382.58,382.58,0
150,15,2025-09-27,382.58,382.58,0
151,15,2025-10-27,382.58,382.58,0
152,15,2025-11-26,382.58,382.58,0
153,15,2025-12-24,382.58,382.58,0
154,16,2025-12-24,116.16,116.16,0
155,17,2025-09-22,723.18,723.18,0
156,17,2025-10-26,723.18,723.18,0
157,17,2025-11-25,723.18,723.18,0
158,17,2025-12-23,723.18,723.18,0
159,18,2025-10-27,929.77,929.77,0
160,18,2025-11-27,929.77,929.77,0
161,18,2025-12-25,929.77,929.77,0
162,19,2024-10-26,336.45,336.45,0
163,19,2024-11-24,336.45,336.45,0
164,19,2024-12-24,336.45,336.45,0
165,19,2025-01-26,336.45,336.45,0
166,19,2025-02-23,336.45,336.45,0
167,19,2025-03-25,336.45,336.45,0
168,19,2025-04-22,336.45,336.45,0
169,19,2025-05-23,336.45,336.45,0
170,19,2025-06-23,336.45,336.45,0
171,19,2025-07-25,336.45,336.45,0
172,19,2025-08-26,336.45,336.45,0
173,19,2025-09-28,336.45,336.45,0
174,19,2025-10-25,336.45,336.45,0
175,19,2025-11-25,336.45,336.45,0
176,19,2025-12-22,336.45,336.45,0
177,20,2025-06-23,409.76,409.76,0
178,20,2025-07-23,409.76,409.76,0
179,20,2025-08-23,409.76,409.76,0
180,20,2025-09-22,409.76,409.76,0
181,20,2025-10-28,409.76,409.76,0
182,20,2025-11-22,409.76,409.76,0
183,20,2025-12-24,409.76,409.76,0
184,21,2025-06-28,102.42,102.42,0
185,21,2025-10-08,102.42,102.0,72
186,21,2025-08-26,102.42,102.42,0
187,21,2025-09-27,102.42,102.42,0
188,21,2025-10-27,102.42,102.42,0
189,21,2025-11-22,102.42,102.42,0
190,21,2025-12-28,102.42,102.42,0
191,22,2025-06-28,673.94,673.94,0
192,22,2025-07-26,673.94,673.94,0
193,22,2025-08-26,673.94,673.94,0
194,22,2025-09-25,673.94,673.94,0
195,22,2025-10-25,673.94,673.94,0
196,22,2025-11-24,673.94,673.94,0
197,22,2025-12-24,673.94,673.94,0
198,23,2025-10-25,238.46,238.46,0
199,23,2025-11-24,238.46,238.46,0
200,23,2025-12-27,238.46,238.46,0
201,24,2025-05-28,280.07,280.07,0
202,24,2025-06-27,280.07,280.07,0
203,24,2025-07-24,280.07,280.07,0
204,24,2025-08-25,280.07,280.07,0
205,24,2025-09-26,280.07,280.07,0
206,24,2025-10-27,280.07,280.07,0
207,24,2025-11-26,280.07,280.07,0
208,24,2025-12-22,280.07,280.07,0
209,25,2025-07-23,289.75,289.75,0
210,25,2025-11-12,289.75,267.4,82
211,25,2025-09-26,289.75,289.75,0
212,25,2025-10-27,289.75,289.75,0
213,25,2026-01-26,289.75,287.37,65
214,25,2025-12-24,289.75,289.75,0
215,26,2025-07-26,252.12,252.12,0
216,26,2025-08-28,252.12,252.12,0
217,26,2025-09-28,252.12,252.12,0
218,26,2025-10-22,252.12,252.12,0
219,26,2025-11-22,252.12,252.12,0
220,26,2025-12-22,252.12,252.12,0
221,27,2025-02-25,2026.22,2026.22,0
222,27,2025-03-26,2026.22,2026.22,0
223,27,2025-04-25,2026.22,2026.22,0
224,27,2025-05-25,2026.22,2026.22,0
225,27,2025-06-25,2026.22,2026.22,0
226,27,2025-07-27,2026.22,2026.22,0
227,27,2025-08-22,2026.22,2026.22,0
228,27,2025-09-25,2026.22,2026.22,0
229,27,2025-10-26,2026.22,2026.22,0
230,27,2025-11-23,2026.22,2026.22,0
231,27,2025-12-26,2026.22,2026.22,0
232,28,2025-03-27,1797.27,1797.27,0
233,28,2025-04-27,1797.27,1797.27,0
234,28,2025-05-25,1797.27,1797.27,0
235,28,2025-06-24,1797.27,1797.27,0
236,28,2025-07-22,1797.27,1797.27,0
237,28,2025-08-28,1797.27,1797.27,0
238,28,2025-09-22,1797.27,1797.27,0
239,28,2025-10-27,1797.27,1797.27,0
240,28,2025-11-24,1797.27,1797.27,0
241,28,2025-12-27,1797.27,1797.27,0
242,29,2025-11-26,482.77,482.77,0
243,29,2025-12-28,482.77,482.77,0
244,30,2025-06-29,613.54,595.2,38
245,30,2025-06-22,613.54,613.54,0
246,30,2025-07-22,613.54,613.54,0
247,30,2025-08-25,613.54,613.54,0
248,30,2025-09-22,613.54,613.54,0
249,30,2025-10-25,613.54,613.54,0
250,30,2025-11-24,613.54,613.54,0
251,30,2025-12-22,613.54,613.54,0
252,31,2024-02-23,142.2,116.91,27
253,31,2024-07-18,142.2,16.15,147
254,31,2024-06-09,142.2,142.17,79
255,31,2024-04-22,142.2,142.2,0
256,31,2024-05-26,142.2,142.2,0
257,31,2024-07-07,142.2,120.61,9
258,31,2024-07-22,142.2,142.2,0
259,31,2024-08-27,142.2,142.2,0
260,31,2024-10-12,142.2,114.79,18
261,31,2024-10-26,142.2,142.2,0
262,31,2024-11-27,142.2,142.2,0
263,31,2024-12-26,142.2,142.2,0
264,31,2025-01-24,142.2,142.2,0
265,31,2025-02-27,142.2,142.2,0
266,31,2025-03-28,142.2,142.2,0
267,31,2025-04-28,142.2,142.2,0
268,31,2025-05-27,142.2,142.2,0
269,31,2025-06-27,142.2,142.2,0
270,31,2025-07-22,142.2,142.2,0
271,31,2025-08-22,142.2,142.2,0
272,31,2025-09-25,142.2,142.2,0
273,31,2025-12-21,142.2,134.65,57
274,31,2025-11-23,142.2,142.2,0
275,31,2025-12-22,142.2,142.2,0
276,33,2025-10-30,1155.23,936.78,64
277,33,2025-09-26,1155.23,1155.23,0
278,33,2025-10-23,1155.23,1155.23,0
279,33,2025-11-28,1155.23,1155.23,0
280,33,2025-12-24,1155.23,1155.23,0
281,34,2025-06-22,1473.31,1473.31,0
282,34,2025-09-16,1473.31,1409.69,53
283,34,2025-08-28,1473.31,1473.31,0
284,34,2025-09-26,1473.31,1473.31,0
285,34,2025-10-25,1473.31,1473.31,0
286,34,2025-11-24,1473.31,1473.31,0
287,34,2025-12-23,1473.31,1473.31,0
288,35,2024-10-20,250.72,226.07,58
289,35,2024-09-23,250.72,250.72,0
290,35,2024-10-22,250.72,250.72,0
291,35,2024-11-22,250.72,250.72,0
292,35,2024-12-22,250.72,250.72,0
293,35,2025-01-24,250.72,250.72,0
294,35,2025-02-24,250.72,250.72,0
295,35,2025-03-26,250.72,250.72,0
296,35,2025-04-27,250.72,250.72,0
297,35,2025-05-23,250.72,250.72,0
298,35,2025-06-28,250.72,250.72,0
299,35,2025-07-22,250.72,250.72,0
300,35,2025-08-23,250.72,250.72,0
301,35,2025-09-23,250.72,250.72,0
302,35,2025-10-26,250.72,250.72,0
303,35,2025-11-26,250.72,250.72,0
304,35,2025-12-26,250.72,250.72,0
305,37,2024-09-24,35.69,35.69,0
306,37,2024-10-23,35.69,35.69,0
307,37,2024-11-25,35.69,35.69,0
308,37,2024-12-28,35.69,35.69,0
309,37,2025-01-25,35.69,35.69,0
310,37,2025-03-12,35.69,32.15,12
311,37,2025-03-23,35.69,35.69,0
312,37,2025-04-27,35.69,35.69,0
313,37,2025-06-29,35.69,29.38,35
314,37,2025-06-28,35.69,35.69,0
315,37,2025-07-27,35.69,35.69,0
316,37,2025-08-25,35.69,35.69,0
317,37,2025-09-24,35.69,35.69,0
318,37,2025-10-22,35.69,35.69,0
319,37,2025-11-27,35.69,35.69,0
320,37,2026-02-28,35.69,31.21,63
321,39,2025-04-23,251.13,251.13,0
322,39,2025-05-26,251.13,251.13,0
323,39,2025-06-25,251.13,251.13,0
324,39,2026-01-15,251.13,31.24,174
325,39,2025-08-27,251.13,251.13,0
326,39,2025-09-27,251.13,251.13,0
327,39,2025-10-24,251.13,251.13,0
328,39,2025-11-26,251.13,251.13,0
329,39,2025-12-23,251.13,251.13,0
330,40,2024-11-26,563.38,563.38,0
331,40,2025-01-12,563.38,513.35,15
332,40,2025-04-26,563.38,466.66,89
333,40,2025-02-28,563.38,563.38,0
334,40,2025-03-24,563.38,563.38,0
335,40,2025-04-22,563.38,563.38,0
336,40,2025-05-25,563.38,563.38,0
337,40,2025-06-25,563.38,563.38,0
338,40,2025-07-23,563.38,563.38,0
339,40,2025-08-28,563.38,563.38,0
340,40,2025-09-23,563.38,563.38,0
341,40,2025-10-24,563.38,563.38,0
342,40,2025-11-27,563.38,563.38,0
343,41,2025-10-25,1551.12,1551.12,0
344,41,2025-11-27,1551.12,1551.12,0
345,41,2025-12-27,1551.12,1551.12,0
346,42,2025-06-24,109.35,109.35,0
347,42,2025-07-26,109.35,109.35,0
348,42,2025-08-27,109.35,109.35,0
349,42,2025-09-24,109.35,109.35,0
350,42,2025-10-28,109.35,109.35,0
351,42,2025-11-27,109.35,109.35,0
352,42,2025-12-26,109.35,109.35,0
353,43,2024-12-27,708.15,708.15,0
354,43,2025-02-23,708.15,686.94,28
355,43,2025-02-26,708.15,708.15,0
356,43,2025-03-25,708.15,708.15,0
357,43,2025-04-22,708.15,708.15,0
358,43,2025-07-01,708.15,591.66,36
359,43,2025-06-26,708.15,708.15,0
360,43,2025-07-23,708.15,708.15,0
361,43,2025-08-29,708.15,610.08,3
362,43,2025-09-25,708.15,708.15,0
363,43,2025-10-24,708.15,708.15,0
364,43,2025-11-23,708.15,708.15,0
365,43,2025-12-26,708.15,708.15,0
366,44,2025-07-28,79.01,79.01,0
367,44,2025-08-28,79.01,79.01,0
368,44,2025-12-02,79.01,78.43,68
369,44,2025-10-27,79.01,79.01,0
370,44,2025-11-29,79.01,74.78,7
371,44,2025-12-26,79.01,79.01,0
372,45,2025-12-25,226.03,226.03,0
373,46,2024-12-08,963.72,826.53,10
374,46,2024-12-28,963.72,963.72,0
375,46,2025-01-27,963.72,963.72,0
376,46,2025-02-24,963.72,963.72,0
377,46,2025-03-22,963.72,963.72,0
378,46,2025-04-28,963.72,963.72,0
379,46,2025-05-28,963.72,963.72,0
380,46,2025-07-16,963.72,923.95,22
381,46,2025-07-23,963.72,963.72,0
382,46,2025-08-25,963.72,963.72,0
383,46,2025-09-25,963.72,963.72,0
384,46,2025-10-27,963.72,963.72,0
385,46,2025-11-28,963.72,963.72,0
386,46,2025-12-22,963.72,963.72,0
387,47,2025-09-27,139.81,139.81,0
388,47,2025-10-26,139.81,139.81,0
389,47,2025-11-27,139.81,139.81,0
390,47,2025-12-27,139.81,139.81,0
391,48,2025-05-28,198.72,198.72,0
392,48,2025-06-23,198.72,198.72,0
393,48,2025-08-31,198.72,179.43,40
394,48,2025-08-25,198.72,198.72,0
395,48,2025-09-22,198.72,198.72,0
396,48,2025-12-20,198.72,168.42,55
397,48,2026-01-10,198.72,192.89,47
398,48,2025-12-26,198.72,198.72,0
399,50,2025-05-26,301.29,301.29,0
400,50,2025-06-25,301.29,301.29,0
401,50,2025-07-28,301.29,301.29,0
402,50,2025-08-26,301.29,301.29,0
403,50,2025-09-24,301.29,301.29,0
404,50,2025-10-25,301.29,301.29,0
405,50,2025-11-28,301.29,301.29,0
406,50,2025-12-25,301.29,301.29,0
407,51,2025-02-22,1732.02,1732.02,0
408,51,2025-09-01,1732.02,412.37,159
409,51,2025-04-25,1732.02,1732.02,0
410,51,2025-05-28,1732.02,1732.02,0
411,51,2025-06-22,1732.02,1732.02,0
412,51,2025-07-24,1732.02,1732.02,0
413,51,2025-08-25,1732.02,1732.02,0
414,51,2025-09-22,1732.02,1732.02,0
415,51,2025-10-28,1732.02,1732.02,0
416,51,2025-11-24,1732.02,1732.02,0
417,51,2026-06-20,1732.02,374.71,175
418,52,2025-06-24,543.03,543.03,0
419,52,2025-07-28,543.03,543.03,0
420,52,2025-08-28,543.03,543.03,0
421,52,2025-09-28,543.03,543.03,0
422,52,2025-10-23,543.03,543.03,0
423,52,2025-11-26,543.03,543.03,0
424,52,2025-12-27,543.03,543.03,0
425,53,2024-12-23,227.6,227.6,0
426,53,2025-01-24,227.6,227.6,0
427,53,2025-02-28,227.6,227.6,0
428,53,2025-03-23,227.6,227.6,0
429,53,2025-04-27,227.6,227.6,0
430,53,2025-05-28,227.6,227.6,0
431,53,2025-08-08,227.6,219.16,43
432,53,2025-07-26,227.6,227.6,0
433,53,2025-08-25,227.6,227.6,0
434,53,2025-09-23,227.6,227.6,0
435,53,2025-10-24,227.6,227.6,0
436,53,2025-11-26,227.6,227.6,0
437,53,2025-12-28,227.6,227.6,0
438,54,2025-03-25,371.66,371.66,0
439,54,2025-09-10,371.66,6.11,141
440,54,2025-05-26,371.66,371.66,0
441,54,2025-06-22,371.66,371.66,0
442,54,2025-07-27,371.66,371.66,0
443,54,2025-08-24,371.66,371.66,0
444,54,2025-09-26,371.66,371.66,0
445,54,2025-10-24,371.66,371.66,0
446,54,2025-11-25,371.66,371.66,0
447,54,2025-12-23,371.66,371.66,0
448,55,2025-06-23,879.83,879.83,0
449,55,2025-07-24,879.83,879.83,0
450,55,2025-08-24,879.83,879.83,0
451,55,2025-09-28,879.83,879.83,0
452,55,2025-10-23,879.83,879.83,0
453,55,2025-11-25,879.83,879.83,0
454,55,2025-12-25,879.83,879.83,0
455,56,2025-05-27,390.32,390.32,0
456,56,2025-06-23,390.32,390.32,0
457,56,2025-07-24,390.32,390.32,0
458,56,2025-08-28,390.32,390.32,0
459,56,2025-09-26,390.32,390.32,0
460,56,2025-10-23,390.32,390.32,0
461,56,2025-11-28,390.32,390.32,0
462,56,2025-12-28,390.32,390.32,0
463,57,2025-09-26,1714.22,1714.22,0
464,57,2025-10-24,1714.22,1714.22,0
465,57,2025-11-22,1714.22,1714.22,0
466,57,2025-12-28,1714.22,1714.22,0
467,58,2025-09-23,734.67,734.67,0
468,58,2025-10-26,734.67,734.67,0
469,58,2025-11-26,734.67,734.67,0
470,58,2025-12-23,734.67,734.67,0
471,59,2025-05-17,73.86,71.69,53
472,59,2025-04-22,73.86,73.86,0
473,59,2025-05-28,73.86,73.86,0
474,59,2025-09-01,73.86,72.66,69
475,59,2025-07-23,73.86,73.86,0
476,59,2025-08-28,73.86,73.86,0
477,59,2025-09-28,73.86,73.86,0
478,59,2025-10-23,73.86,73.86,0
479,59,2025-11-24,73.86,73.86,0
480,59,2025-12-24,73.86,73.86,0
481,60,2025-09-23,291.69,291.69,0
482,60,2025-10-27,291.69,291.69,0
483,60,2025-11-22,291.69,291.69,0
484,60,2025-12-24,291.69,291.69,0
485,61,2025-06-22,900.26,900.26,0
486,61,2025-10-10,900.26,853.19,76
487,61,2025-08-22,900.26,900.26,0
488,61,2025-09-28,900.26,900.26,0
489,61,2025-10-27,900.26,900.26,0
490,61,2025-11-23,900.26,900.26,0
491,61,2025-12-27,900.26,900.26,0
492,62,2025-04-08,202.66,1.34,106
493,62,2025-02-25,202.66,10.29,30
494,62,2025-04-16,202.66,183.86,53
495,62,2025-03-28,202.66,202.66,0
496,62,2025-04-27,202.66,202.66,0
497,62,2025-05-22,202.66,202.66,0
498,62,2025-06-24,202.66,202.66,0
499,62,2025-09-21,202.66,186.27,60
500,62,2025-08-22,202.66,202.66,0
501,62,2025-12-07,202.66,186.88,75
502,62,2025-10-25,202.66,202.66,0
503,62,2025-11-24,202.66,202.66,0
504,62,2025-12-27,202.66,202.66,0
505,63,2025-12-25,1671.59,1671.59,0
506,64,2024-02-07,220.8,199.36,14
507,64,2024-02-22,220.8,220.8,0
508,64,2024-03-27,220.8,220.8,0
509,64,2024-04-28,220.8,220.8,0
510,64,2024-05-22,220.8,220.8,0
511,64,2024-06-23,220.8,220.8,0
512,64,2024-07-26,220.8,220.8,0
513,64,2024-08-23,220.8,220.8,0
514,64,2024-09-23,220.8,220.8,0
515,64,2024-10-28,220.8,220.8,0
516,64,2024-11-28,220.8,220.8,0
517,64,2024-12-28,220.8,220.8,0
518,64,2025-01-27,220.8,220.8,0
519,64,2025-02-24,220.8,220.8,0
520,64,2025-03-25,220.8,220.8,0
521,64,2025-04-25,220.8,220.8,0
522,64,2025-05-27,220.8,220.8,0
523,64,2025-06-27,220.8,220.8,0
524,64,2025-07-28,220.8,220.8,0
525,64,2025-08-25,220.8,220.8,0
526,64,2025-09-22,220.8,220.8,0
527,64,2025-10-25,220.8,220.8,0
528,64,2025-12-01,220.8,208.4,3
529,64,2025-12-24,220.8,220.8,0
530,65,2025-04-26,213.6,213.6,0
531,65,2025-05-24,213.6,213.6,0
532,65,2025-06-24,213.6,213.6,0
533,65,2025-07-24,213.6,213.6,0
534,65,2025-10-09,213.6,179.28,45
535,65,2025-09-24,213.6,213.6,0
536,65,2025-10-24,213.6,213.6,0
537,65,2025-11-24,213.6,213.6,0
538,65,2025-12-26,213.6,213.6,0
539,66,2024-11-09,110.15,4.36,139
540,66,2024-09-18,110.15,94.25,52
541,66,2024-08-28,110.15,110.15,0
542,66,2024-09-23,110.15,110.15,0
543,66,2024-10-25,110.15,110.15,0
544,66,2024-11-23,110.15,110.15,0
545,66,2024-12-22,110.15,110.15,0
546,66,2025-01-28,110.15,110.15,0
547,66,2025-02-28,110.15,110.15,0
548,66,2025-03-22,110.15,110.15,0
549,66,2025-04-24,110.15,110.15,0
550,66,2025-08-04,110.15,109.81,69
551,66,2025-12-07,110.15,3.16,166
552,66,2025-07-28,110.15,110.15,0
553,66,2025-08-23,110.15,110.15,0
554,66,2025-09-25,110.15,110.15,0
555,66,2026-01-01,110.15,100.07,67
556,66,2025-11-22,110.15,110.15,0
557,66,2025-12-23,110.15,110.15,0
558,67,2025-08-24,133.94,133.94,0
559,67,2025-09-26,133.94,133.94,0
560,67,2025-10-27,133.94,133.94,0
561,67,2025-11-24,133.94,133.94,0
562,67,2025-12-22,133.94,133.94,0
563,68,2025-06-27,677.94,677.94,0
564,68,2025-08-28,677.94,663.86,37
565,68,2025-08-24,677.94,677.94,0
566,68,2025-09-23,677.94,677.94,0
567,68,2025-10-26,677.94,677.94,0
568,68,2025-11-24,677.94,677.94,0
569,68,2025-12-28,677.94,677.94,0
570,69,2025-08-29,126.31,109.62,64
571,69,2025-07-28,126.31,126.31,0
572,69,2025-08-24,126.31,126.31,0
573,69,2025-09-23,126.31,126.31,0
574,69,2025-11-04,126.31,120.69,7
575,69,2025-11-23,126.31,126.31,0
576,69,2025-12-25,126.31,126.31,0
577,70,2025-11-27,536.09,536.09,0
578,70,2025-12-25,536.09,536.09,0
579,71,2024-01-23,1216.62,1216.62,0
580,71,2024-02-28,1216.62,1216.62,0
581,71,2024-04-06,1216.62,1108.2,14
582,71,2024-04-23,1216.62,1216.62,0
583,71,2024-05-23,1216.62,1216.62,0
584,71,2024-06-23,1216.62,1216.62,0
585,71,2024-07-28,1216.62,1216.62,0
586,71,2024-08-22,1216.62,1216.62,0
587,71,2024-09-25,1216.62,1216.62,0
588,71,2024-10-26,1216.62,1216.62,0
589,71,2025-01-19,1216.62,360.91,58
590,71,2024-12-27,1216.62,1216.62,0
591,71,2025-01-27,1216.62,1216.62,0
592,71,2025-02-28,1216.62,1216.62,0
593,71,2025-03-28,1216.62,1216.62,0
594,71,2025-04-24,1216.62,1216.62,0
595,71,2025-05-22,1216.62,1216.62,0
596,71,2025-06-27,1216.62,1216.62,0
597,71,2025-07-23,1216.62,1216.62,0
598,71,2025-08-28,1216.62,1216.62,0
599,71,2025-09-27,1216.62,1216.62,0
600,71,2025-11-22,1216.62,30.2,30
601,71,2025-11-23,1216.62,1216.62,0
602,71,2025-12-25,1216.62,1216.62,0
603,72,2024-09-23,480.74,480.74,0
604,72,2024-10-23,480.74,480.74,0
605,72,2024-11-28,480.74,480.74,0
606,72,2024-12-27,480.74,480.74,0
607,72,2025-01-25,480.74,480.74,0
608,72,2025-02-22,480.74,480.74,0
609,72,2025-05-07,480.74,401.63,43
610,72,2025-04-24,480.74,480.74,0
611,72,2025-05-26,480.74,480.74,0
612,72,2025-06-22,480.74,480.74,0
613,72,2025-07-27,480.74,480.74,0
614,72,2026-01-15,480.74,126.91,143
615,72,2025-09-25,480.74,480.74,0
616,72,2025-12-27,480.74,455.6,64
617,72,2025-11-28,480.74,480.74,0
618,72,2025-12-25,480.74,480.74,0
619,73,2024-10-27,207.91,207.91,0
620,73,2024-11-28,207.91,207.91,0
621,73,2024-12-24,207.91,207.91,0
622,73,2025-01-24,207.91,207.91,0
623,73,2025-02-23,207.91,207.91,0
624,73,2025-03-22,207.91,207.91,0
625,73,2025-04-22,207.91,207.91,0
626,73,2025-05-26,207.91,207.91,0
627,73,2025-06-28,207.91,207.91,0
628,73,2025-07-24,207.91,207.91,0
629,73,2025-08-28,207.91,207.91,0
630,73,2025-09-28,207.91,207.91,0
631,73,2025-10-23,207.91,207.91,0
632,73,2025-11-22,207.91,207.91,0
633,73,2025-12-23,207.91,207.91,0
634,74,2024-01-23,169.5,169.5,0
635,74,2024-02-27,169.5,169.5,0
636,74,2024-03-23,169.5,169.5,0
637,74,2024-04-27,169.5,169.5,0
638,74,2024-05-28,169.5,169.5,0
639,74,2024-06-24,169.5,169.5,0
640,74,2024-07-26,169.5,169.5,0
641,74,2024-10-10,169.5,158.84,47
642,74,2024-09-25,169.5,169.5,0
643,74,2024-10-24,169.5,169.5,0
644,74,2024-11-24,169.5,169.5,0
645,74,2025-02-05,169.5,146.52,40
646,74,2025-01-27,169.5,169.5,0
647,74,2025-02-25,169.5,169.5,0
648,74,2025-03-26,169.5,169.5,0
649,74,2025-04-24,169.5,169.5,0
650,74,2025-05-28,169.5,169.5,0
651,74,2025-06-28,169.5,169.5,0
652,74,2025-07-28,169.5,169.5,0
653,74,2025-08-23,169.5,169.5,0
654,74,2025-09-27,169.5,169.5,0
655,74,2025-10-26,169.5,169.5,0
