loan_id,customer_id,branch_id,loan_type,loan_amount,interest_rate,term_months,issue_date,maturity_date,outstanding_balance,loan_status
59,103,4,Agriculture Loan,1554.74,12.92,24,2025-03-15,2027-03-15,1015.05,Current
60,105,7,Housing Loan,26919.81,10.6,192,2025-09-09,2041-09-09,26521.32,Current
61,106,5,SME Loan,19354.13,10.8,24,2025-06-24,2027-06-24,14676.7,Current
62,107,6,Personal Loan,8622.85,14.45,60,2024-12-11,2029-12-11,6578.24,Current
63,108,13,SME Loan,49307.38,13.43,36,2025-12-06,2028-12-06,50036.88,Current
64,109,6,Personal Loan,7891.85,15.29,48,2023-12-13,2027-12-13,3950.95,Current
65,112,3,Agriculture Loan,4555.75,11.6,24,2025-04-05,2027-04-05,2845.68,Current
66,113,7,Vehicle Loan,5150.68,10.28,60,2024-06-14,2029-06-14,3538.38,Past Due
67,114,9,Personal Loan,4645.07,16.96,48,2025-08-26,2029-08-26,4300.92,Current
68,116,5,Vehicle Loan,14010.72,14.79,24,2025-06-28,2027-06-28,10705.24,Current
69,117,12,Vehicle Loan,4975.51,10.05,48,2025-06-13,2029-06-13,4208.12,Past Due
70,120,9,SME Loan,25333.41,15.03,72,2025-11-17,2031-11-17,24713.19,Current
71,122,3,Housing Loan,124982.32,9.88,228,2023-11-14,2042-11-14,106211.06,Current
72,123,9,Vehicle Loan,18096.45,12.47,48,2024-09-18,2028-09-18,12612.49,Current
73,126,15,Agriculture Loan,6366.22,10.83,36,2024-10-29,2027-10-29,3883.69,Current
74,128,18,Housing Loan,16878.81,10.35,228,2023-10-08,2042-10-08,14926.74,Current
75,129,8,Housing Loan,73423.02,11.67,180,2025-02-23,2040-02-23,67205.42,Current
76,130,4,Personal Loan,5598.58,15.59,24,2024-09-29,2026-09-29,2127.55,Defaulted
77,132,12,Agriculture Loan,6897.6,12.81,36,2025-05-26,2028-05-26,5713.09,Past Due
78,133,17,Housing Loan,39062.21,9.76,192,2025-12-21,2041-12-21,40897.41,Defaulted
79,135,7,Vehicle Loan,10718.62,13.75,48,2025-05-12,2029-05-12,9409.41,Current
80,138,18,SME Loan,30773.33,15.87,48,2023-12-05,2027-12-05,14827.34,Current
81,141,6,Housing Loan,38730.55,9.49,240,2023-08-16,2043-08-16,34941.58,Current
82,145,12,Vehicle Loan,2267.68,13.11,24,2025-11-04,2027-11-04,2176.37,Current
83,146,1,Vehicle Loan,8179.26,14.48,36,2025-03-31,2028-03-31,6041.22,Non-Performing
84,147,5,Vehicle Loan,13895.57,12.95,36,2025-04-26,2028-04-26,10470.03,Current
85,148,18,Agriculture Loan,3133.36,13.04,36,2025-06-25,2028-06-25,2516.3,Current
86,152,4,Vehicle Loan,3037.15,11.96,36,2025-06-03,2028-06-03,2413.66,Current
87,153,10,Housing Loan,25357.13,9.81,60,2025-07-30,2030-07-30,23058.97,Non-Performing
88,155,17,Vehicle Loan,16415.63,14.48,36,2025-03-04,2028-03-04,11890.76,Current
89,156,5,Personal Loan,4671.13,15.92,12,2025-03-07,2026-03-07,1127.55,Current
90,157,3,SME Loan,20717.77,14.75,60,2026-01-09,2031-01-09,20668.58,Defaulted
91,162,1,SME Loan,21823.97,10.61,60,2024-05-04,2029-05-04,14451.79,Current
92,164,4,Housing Loan,26716.94,8.16,60,2024-08-28,2029-08-28,19623.94,Current
93,165,2,Vehicle Loan,5284.34,11.92,24,2025-04-09,2027-04-09,3453.17,Current
94,166,15,Agriculture Loan,1750.96,9.01,24,2025-02-14,2027-02-14,1022.23,Current
95,167,3,SME Loan,32478.44,14.68,48,2025-10-31,2029-10-31,30572.67,Current
96,170,6,Vehicle Loan,2976.59,11.14,48,2025-01-29,2029-01-29,2285.45,Current
97,171,17,Personal Loan,4596.66,12.28,24,2024-09-15,2026-09-15,1670.02,Current
98,172,2,Housing Loan,111827.17,8.97,168,2025-02-07,2039-02-07,99962.12,Current
99,173,14,Vehicle Loan,25469.54,13.86,60,2025-06-07,2030-06-07,22818.19,Current
100,175,18,Vehicle Loan,7582.63,11.59,60,2025-05-18,2030-05-18,6640.4,Current
101,177,4,Vehicle Loan,7733.74,10.15,48,2024-11-25,2028-11-25,5766.17,Current
102,179,18,Personal Loan,12050.88,15.56,60,2024-11-09,2029-11-09,9131.12,Current
103,181,15,Personal Loan,2648.9,12.1,36,2025-06-27,2028-06-27,2295.12,Past Due
104,182,16,Personal Loan,9301.81,13.64,48,2025-12-24,2029-12-24,9110.9,Current
105,185,6,Personal Loan,10637.0,13.39,36,2025-05-27,2028-05-27,8614.57,Current
106,190,11,Vehicle Loan,12606.54,13.79,48,2025-06-21,2029-06-21,10492.94,Current
107,191,2,Personal Loan,4783.85,12.56,36,2025-09-15,2028-09-15,4465.26,Current
108,193,10,Housing Loan,65093.12,11.44,96,2025-08-26,2033-08-26,62192.52,Current
109,194,12,Agriculture Loan,5258.89,12.71,36,2024-12-15,2027-12-15,3367.31,Non-Performing
110,198,17,Vehicle Loan,8754.21,11.02,36,2025-05-27,2028-05-27,6965.36,Past Due
111,200,17,Housing Loan,21032.44,10.43,120,2024-11-22,2034-11-22,19570.44,Current
112,201,11,Housing Loan,58924.24,9.51,120,2025-11-11,2035-11-11,59511.66,Current
113,202,6,Agriculture Loan,2717.46,9.49,24,2025-03-05,2027-03-05,1537.96,Current
114,203,6,Personal Loan,10859.18,13.56,36,2024-10-09,2027-10-09,6737.38,Current
115,204,9,Personal Loan,24156.32,13.51,12,2025-05-29,2026-05-29,10469.39,Defaulted
116,207,13,Housing Loan,68654.49,9.22,84,2024-10-24,2031-10-24,57880.06,Current
117,208,12,Vehicle Loan,26813.98,11.27,36,2025-10-13,2028-10-13,25919.76,Current
118,209,15,SME Loan,48053.42,12.43,24,2025-02-23,2027-02-23,29268.85,Current
119,210,6,Housing Loan,42960.62,11.39,108,2025-01-23,2034-01-23,37602.08,Current
120,213,8,Agriculture Loan,4619.04,11.65,36,2025-03-22,2028-03-22,3616.71,Non-Performing
121,216,13,Personal Loan,10855.54,15.18,36,2024-08-22,2027-08-22,5805.1,Non-Performing
122,217,17,Housing Loan,53122.96,11.81,84,2025-03-24,2032-03-24,46260.54,Current
123,218,4,Personal Loan,8519.1,13.93,60,2025-06-02,2030-06-02,7549.2,Current
124,223,18,Housing Loan,18137.02,8.61,216,2025-05-17,2043-05-17,17272.68,Current
125,228,15,SME Loan,36427.92,12.63,84,2024-07-29,2031-07-29,28418.98,Current
126,229,13,Personal Loan,3646.58,12.77,48,2025-10-30,2029-10-30,3457.22,Non-Performing
127,230,18,Housing Loan,29050.05,9.84,192,2024-10-27,2040-10-27,28143.91,Current
128,231,10,Housing Loan,52476.32,10.71,240,2026-01-04,2046-01-04,54535.95,Current
129,233,8,Vehicle Loan,5371.27,13.3,24,2024-10-06,2026-10-06,2062.27,Current
130,234,10,Personal Loan,8854.52,15.05,48,2026-01-06,2030-01-06,8984.75,Current
131,235,5,Agriculture Loan,5214.43,9.63,24,2025-04-13,2027-04-13,3532.92,Current
132,236,5,SME Loan,32704.6,11.19,24,2025-06-29,2027-06-29,24940.16,Current
133,237,18,Vehicle Loan,8765.43,11.42,24,2024-01-24,2026-01-24,366.76,Current
134,240,2,Vehicle Loan,13783.53,13.13,24,2024-06-17,2026-06-17,3509.78,Current
135,241,6,Vehicle Loan,13089.65,13.05,60,2025-12-20,2030-12-20,13553.0,Current
136,242,10,Vehicle Loan,14451.37,13.16,36,2025-07-04,2028-07-04,12539.78,Non-Performing
137,248,13,Housing Loan,18187.4,8.96,144,2025-06-01,2037-06-01,17452.03,Current
138,249,10,Vehicle Loan,2202.84,14.08,36,2025-05-30,2028-05-30,1745.43,Past Due
139,251,9,Vehicle Loan,2643.49,10.58,60,2025-05-27,2030-05-27,2254.28,Current
140,255,7,Housing Loan,65577.03,8.55,168,2025-05-24,2039-05-24,63871.87,Current
141,258,6,SME Loan,36585.53,13.31,48,2025-12-20,2029-12-20,37144.14,Defaulted
142,260,10,Agriculture Loan,2867.26,12.64,12,2025-07-03,2026-07-03,1428.07,Current
143,261,5,Housing Loan,33017.03,9.41,180,2024-12-11,2039-12-11,30559.09,Current
144,265,1,Vehicle Loan,5843.36,14.47,36,2025-11-30,2028-11-30,5484.21,Current
145,266,3,SME Loan,53124.9,10.32,36,2024-02-14,2027-02-14,19698.67,Current
146,268,18,Personal Loan,11804.91,17.16,12,2025-11-09,2026-11-09,11166.58,Current
147,269,18,Vehicle Loan,6553.63,11.29,48,2024-10-09,2028-10-09,4625.76,Current
148,270,16,Vehicle Loan,8839.94,11.04,48,2025-06-11,2029-06-11,7484.56,Current
149,272,6,Vehicle Loan,7097.87,10.69,60,2025-06-22,2030-06-22,6627.69,Defaulted
150,274,18,Housing Loan,56970.22,8.88,144,2025-07-05,2037-07-05,55357.35,Current
151,277,6,Housing Loan,19945.12,8.2,228,2025-07-03,2044-07-03,19262.28,Current
152,279,6,Housing Loan,16025.8,9.54,204,2025-08-23,2042-08-23,15812.27,Current
153,280,2,Agriculture Loan,3549.59,9.01,24,2025-11-03,2027-11-03,3451.45,Current
154,282,3,Personal Loan,2053.45,14.86,60,2026-01-05,2031-01-05,2071.06,Current
155,284,8,Vehicle Loan,4236.02,10.5,36,2024-01-18,2027-01-18,1473.79,Non-Performing
156,286,3,Housing Loan,50433.35,8.22,120,2024-12-12,2034-12-12,44052.78,Past Due
157,288,11,Housing Loan,39047.21,8.43,60,2024-02-04,2029-02-04,24927.62,Current
158,290,10,Personal Loan,12455.98,12.27,60,2024-11-20,2029-11-20,9832.18,Current
159,291,5,Agriculture Loan,5471.58,13.89,24,2025-11-13,2027-11-13,5181.06,Current
160,292,13,Housing Loan,11253.17,8.51,180,2024-04-25,2039-04-25,10369.07,Current
161,293,16,Vehicle Loan,19489.37,12.16,36,2025-08-12,2028-08-12,18073.63,Current
162,294,7,Personal Loan,15464.36,15.41,36,2025-06-05,2028-06-05,12655.92,Current
163,295,1,Housing Loan,42949.77,8.38,108,2025-09-28,2034-09-28,40564.73,Current
164,298,3,SME Loan,72678.06,14.96,84,2025-12-08,2032-12-08,69426.27,Non-Performing
165,300,17,Housing Loan,88192.94,8.02,168,2025-11-26,2039-11-26,83517.19,Current
166,301,2,Personal Loan,10891.58,14.79,36,2024-06-01,2027-06-01,5338.05,Current
167,302,3,Personal Loan,9292.32,12.96,24,2025-06-22,2027-06-22,7293.6,Non-Performing
168,304,1,Vehicle Loan,11123.23,12.97,60,2025-06-07,2030-06-07,10322.21,Current
169,305,9,Vehicle Loan,4029.17,13.04,60,2025-04-21,2030-04-21,3358.69,Past Due
170,307,13,SME Loan,58645.12,11.82,72,2025-06-16,2031-06-16,53562.75,Current
171,307,13,Housing Loan,51731.6,10.67,72,2025-04-25,2031-04-25,45807.65,Current
172,308,11,Housing Loan,36461.76,8.75,84,2025-12-08,2032-12-08,38092.77,Current
173,311,13,Housing Loan,61353.46,11.49,180,2025-04-06,2040-04-06,55905.77,Current
174,314,1,Housing Loan,12520.41,10.82,156,2025-07-21,2038-07-21,12647.36,Non-Performing
175,315,3,Personal Loan,9258.2,12.36,12,2026-01-07,2027-01-07,9643.1,Current
176,316,6,Vehicle Loan,8192.39,12.23,60,2023-09-21,2028-09-21,4365.85,Current
177,318,5,Vehicle Loan,23123.18,13.54,60,2025-08-18,2030-08-18,22320.06,Non-Performing
178,319,10,Vehicle Loan,19002.39,12.73,60,2024-07-30,2029-07-30,13897.34,Current
179,321,16,Housing Loan,22280.17,9.55,108,2025-06-08,2034-06-08,20153.21,Current
180,322,3,Personal Loan,5111.46,15.67,60,2024-09-05,2029-09-05,3926.73,Current
181,323,6,Personal Loan,7552.85,17.62,60,2025-10-07,2030-10-07,7048.18,Current
182,324,4,Vehicle Loan,19808.51,12.84,36,2025-05-28,2028-05-28,15481.13,Current
183,329,1,Agriculture Loan,2939.17,10.13,12,2025-05-12,2026-05-12,1257.81,Current
184,330,3,Housing Loan,51024.42,9.28,84,2025-12-31,2032-12-31,49639.85,Current
185,331,2,Housing Loan,23067.61,11.75,204,2025-06-29,2042-06-29,22432.92,Current
186,332,11,Personal Loan,10801.59,17.97,12,2024-10-01,2025-10-01,0.0,Closed
187,333,5,Agriculture Loan,4049.22,12.19,12,2025-04-16,2026-04-16,1403.29,Current
188,334,15,Agriculture Loan,3004.12,13.11,36,2025-06-27,2028-06-27,2537.96,Past Due
189,336,15,SME Loan,30452.66,14.03,60,2025-06-26,2030-06-26,28262.84,Current
190,338,12,Vehicle Loan,6701.55,11.08,48,2025-01-24,2029-01-24,5231.29,Current
191,340,8,Housing Loan,28819.59,11.82,72,2025-01-19,2031-01-19,24488.36,Past Due
192,343,4,Agriculture Loan,2530.84,10.79,48,2024-11-22,2028-11-22,1810.03,Current
193,344,8,Vehicle Loan,10490.93,10.35,48,2024-02-10,2028-02-10,5636.18,Current
194,346,18,Personal Loan,3965.03,14.16,12,2025-11-11,2026-11-11,3540.45,Current
195,347,1,SME Loan,35147.5,11.64,48,2024-02-08,2028-02-08,18066.68,Current
196,351,3,Housing Loan,36157.06,11.47,180,2024-11-14,2039-11-14,34916.42,Past Due
197,352,17,Vehicle Loan,13113.82,10.41,48,2024-12-11,2028-12-11,9744.25,Current
198,353,18,Housing Loan,22047.8,8.43,216,2025-08-13,2043-08-13,22392.21,Defaulted
199,357,9,SME Loan,71097.59,11.61,48,2025-12-02,2029-12-02,69993.02,Current
200,358,13,Agriculture Loan,4405.57,9.29,12,2024-12-02,2025-12-02,0.0,Closed
201,359,6,Agriculture Loan,3323.6,9.88,48,2024-01-05,2028-01-05,1601.98,Current
202,362,13,Vehicle Loan,5167.38,11.38,36,2025-06-17,2028-06-17,4277.09,Current
203,365,3,Vehicle Loan,21550.89,11.07,60,2025-02-08,2030-02-08,17130.52,Current
204,366,5,Personal Loan,11046.2,16.86,48,2023-10-10,2027-10-10,4770.63,Current
205,367,7,Housing Loan,82362.48,9.92,132,2025-06-23,2036-06-23,82415.91,Current
206,368,8,Vehicle Loan,15927.97,14.62,24,2024-10-06,2026-10-06,5732.75,Current
207,369,1,SME Loan,34045.68,12.78,36,2025-01-15,2028-01-15,24358.55,Current
208,370,2,Personal Loan,3921.09,13.53,24,2025-08-18,2027-08-18,3177.62,Past Due
209,371,5,Personal Loan,7556.72,12.21,12,2023-12-24,2024-12-24,0.0,Closed
210,376,11,Housing Loan,20650.35,11.47,60,2025-06-03,2030-06-03,17563.11,Past Due
211,381,5,Personal Loan,9854.04,17.26,12,2025-04-25,2026-04-25,3366.58,Current
212,382,5,Vehicle Loan,9225.14,12.51,24,2024-10-28,2026-10-28,3954.08,Non-Performing
213,383,3,Housing Loan,15101.95,10.95,108,2025-04-06,2034-04-06,14396.12,Defaulted
214,387,4,Housing Loan,52468.86,9.9,180,2023-12-24,2038-12-24,47180.7,Current
215,389,6,Vehicle Loan,16890.45,14.9,36,2025-05-06,2028-05-06,13384.22,Current
216,393,8,Personal Loan,3527.43,13.32,60,2025-02-04,2030-02-04,2752.6,Current
217,397,4,Vehicle Loan,15828.95,14.73,36,2025-06-20,2028-06-20,13674.38,Current
218,399,1,Personal Loan,8351.11,15.19,36,2025-05-09,2028-05-09,6409.21,Non-Performing
219,404,13,Agriculture Loan,2809.29,11.25,24,2025-12-19,2027-12-19,2918.31,Past Due
220,405,6,Vehicle Loan,13740.91,10.71,48,2025-01-26,2029-01-26,10414.18,Current
221,406,15,Vehicle Loan,8732.35,10.45,24,2025-08-13,2027-08-13,6967.0,Current
222,408,13,Agriculture Loan,3733.76,12.87,12,2024-10-25,2025-10-25,0.0,Closed
223,410,1,Vehicle Loan,11554.73,12.34,36,2025-06-05,2028-06-05,9295.33,Current
224,412,18,Personal Loan,14192.06,16.12,48,2025-05-04,2029-05-04,11599.25,Current
225,415,14,Vehicle Loan,21666.3,11.45,48,2025-07-01,2029-07-01,19167.19,Current
226,416,4,Agriculture Loan,3136.15,12.37,36,2025-10-11,2028-10-11,2946.17,Current
227,417,1,Vehicle Loan,22015.16,12.2,24,2025-06-09,2027-06-09,16586.99,Current
228,418,4,Vehicle Loan,5788.63,12.5,24,2025-12-09,2027-12-09,5805.22,Current
229,421,9,Housing Loan,23888.27,10.06,180,2024-07-20,2039-07-20,21563.63,Defaulted
230,422,14,Housing Loan,8113.61,8.87,84,2025-07-29,2032-07-29,7578.73,Past Due
231,424,8,Personal Loan,4856.54,12.93,36,2024-02-28,2027-02-28,1855.84,Current
232,425,7,Vehicle Loan,4467.16,13.8,24,2025-06-16,2027-06-16,3436.17,Current
233,427,7,Vehicle Loan,12024.43,11.25,36,2025-01-20,2028-01-20,8759.7,Current
234,431,1,Agriculture Loan,3723.76,11.64,36,2025-11-07,2028-11-07,3796.13,Defaulted
235,434,18,Vehicle Loan,10249.13,11.6,48,2024-07-17,2028-07-17,6709.69,Current
236,436,13,Housing Loan,73212.73,8.51,120,2025-03-05,2035-03-05,65285.34,Current
237,437,3,Personal Loan,8322.28,12.13,60,2024-06-20,2029-06-20,5694.54,Current
238,438,4,Vehicle Loan,20195.95,10.11,48,2025-02-06,2029-02-06,15900.03,Current
239,439,3,Vehicle Loan,4573.93,14.01,48,2025-06-03,2029-06-03,4064.7,Current
240,440,11,Vehicle Loan,22406.05,13.3,24,2024-03-16,2026-03-16,2799.09,Current
241,441,9,Vehicle Loan,5924.37,11.8,48,2024-03-22,2028-03-22,3402.91,Current
242,442,8,Housing Loan,62175.25,10.44,180,2025-08-19,2040-08-19,62080.61,Current
243,443,3,Housing Loan,96120.82,8.98,168,2025-04-03,2039-04-03,90188.5,Current
244,445,4,Agriculture Loan,5522.65,13.65,36,2024-06-26,2027-06-26,2626.59,Past Due
245,449,16,Vehicle Loan,17762.33,14.25,24,2025-01-21,2027-01-21,9690.38,Current
246,451,2,Housing Loan,29833.22,10.92,84,2025-04-25,2032-04-25,26485.09,Defaulted
247,454,2,Housing Loan,147732.85,8.88,84,2025-12-21,2032-12-21,151191.96,Current
248,455,3,Agriculture Loan,3823.16,10.21,48,2024-12-25,2028-12-25,2922.69,Defaulted
249,456,4,Housing Loan,29105.82,8.35,180,2024-10-08,2039-10-08,26775.75,Current
250,457,8,Housing Loan,45003.47,11.38,120,2025-04-28,2035-04-28,43905.88,Current
251,458,8,Vehicle Loan,12206.49,14.43,48,2024-07-13,2028-07-13,8031.2,Current
252,460,15,Housing Loan,18487.05,9.76,84,2025-01-11,2032-01-11,15314.3,Current
253,461,5,Housing Loan,15967.7,10.61,204,2025-06-20,2042-06-20,15430.72,Current
254,464,11,Vehicle Loan,4223.64,12.97,48,2024-04-01,2028-04-01,2357.1,Current
255,467,6,SME Loan,30943.36,13.61,36,2025-04-27,2028-04-27,24385.6,Non-Performing
256,470,2,Agriculture Loan,5930.93,11.73,24,2024-07-20,2026-07-20,1646.17,Current
257,472,15,SME Loan,25407.55,12.88,24,2025-06-16,2027-06-16,18201.44,Non-Performing
258,473,17,Vehicle Loan,17737.72,10.45,48,2025-09-09,2029-09-09,16633.13,Defaulted
259,474,16,Vehicle Loan,5263.31,14.3,48,2026-01-21,2030-01-21,5450.41,Current
260,475,3,Vehicle Loan,6891.44,10.93,60,2024-10-18,2029-10-18,5125.03,Current
261,476,15,Agriculture Loan,1838.43,12.37,24,2025-03-27,2027-03-27,1173.92,Current
262,477,1,Personal Loan,9707.67,17.12,12,2024-09-20,2025-09-20,0.0,Closed
263,478,7,Housing Loan,47387.22,8.5,144,2025-10-23,2037-10-23,45003.6,Past Due
264,484,1,Vehicle Loan,6644.4,12.6,24,2025-05-15,2027-05-15,4477.78,Past Due
265,486,7,Vehicle Loan,3193.52,10.2,60,2025-12-06,2030-12-06,3044.32,Current
266,487,6,SME Loan,73438.88,12.27,24,2025-08-08,2027-08-08,60145.98,Current
267,488,13,Personal Loan,12356.72,16.54,24,2024-09-08,2026-09-08,4648.52,Current
268,494,17,Vehicle Loan,28301.75,13.83,48,2025-05-02,2029-05-02,22628.05,Defaulted
269,496,1,Agriculture Loan,8633.46,9.17,36,2025-11-27,2028-11-27,8479.6,Non-Performing
270,497,12,Vehicle Loan,9820.02,12.07,36,2025-10-06,2028-10-06,9056.71,Current
271,498,4,Personal Loan,4166.39,13.62,60,2025-06-29,2030-06-29,3750.69,Current
272,499,6,Vehicle Loan,6992.13,12.51,24,2024-12-27,2026-12-27,3465.79,Past Due
273,500,5,Vehicle Loan,20624.54,13.92,60,2025-10-24,2030-10-24,19223.52,Current
274,501,7,Agriculture Loan,2935.38,11.92,48,2024-01-14,2028-01-14,1538.61,Current
275,502,18,Agriculture Loan,5530.3,11.99,12,2025-01-30,2026-01-30,449.73,Current
276,503,7,Housing Loan,22514.35,11.58,228,2026-01-16,2045-01-16,22711.65,Current
277,504,1,Personal Loan,6596.72,12.62,12,2025-01-03,2026-01-03,0.0,Closed
278,507,15,Personal Loan,3912.57,12.68,60,2026-01-29,2031-01-29,3840.08,Current
279,508,10,Vehicle Loan,13602.72,10.95,36,2025-11-26,2028-11-26,13496.34,Current
280,509,5,Personal Loan,6261.97,14.03,48,2024-10-09,2028-10-09,4545.79,Non-Performing
281,510,10,Housing Loan,64985.9,9.28,240,2025-05-08,2045-05-08,60318.48,Current
282,511,18,SME Loan,25220.29,11.57,36,2025-03-27,2028-03-27,18979.35,Current
283,512,13,Vehicle Loan,19953.21,12.94,36,2025-06-28,2028-06-28,17115.98,Current
284,513,2,Housing Loan,130665.79,11.95,192,2025-02-03,2041-02-03,118579.75,Current
285,521,9,Housing Loan,21116.28,10.22,192,2025-12-03,2041-12-03,20947.82,Current
286,522,16,Personal Loan,5830.39,16.22,24,2025-01-25,2027-01-25,3241.57,Current
287,524,6,SME Loan,26887.81,14.25,84,2025-05-27,2032-05-27,23512.22,Current
288,525,2,Housing Loan,37847.88,8.02,240,2025-02-20,2045-02-20,36168.02,Current
289,526,7,SME Loan,45348.75,13.13,36,2025-03-18,2028-03-18,35695.17,Current
290,527,9,Housing Loan,25528.53,8.72,204,2024-11-10,2041-11-10,24532.9,Current
291,530,4,Vehicle Loan,29706.62,12.02,24,2025-05-15,2027-05-15,20429.78,Current
292,531,9,Personal Loan,7118.82,14.99,60,2025-05-13,2030-05-13,6061.02,Current
293,534,4,Personal Loan,1690.2,15.41,48,2024-04-02,2028-04-02,972.4,Current
