snapshot_date,customer_id,account_balance,total_loan_balance,credit_score,risk_category
2024-01-01,1780,12750.78,0.0,757,Very Low Risk
2024-01-01,1798,2275.28,28659.77,836,Very Low Risk
2024-01-01,1800,32240.21,0.0,743,Low Risk
2024-01-01,1825,11729.63,0.0,660,Low Risk
2024-01-01,1834,2397.14,9925.91,722,Low Risk
2024-01-01,1848,936.48,0.0,684,Low Risk
2024-01-01,1853,2583.99,0.0,659,Low Risk
2024-01-01,1855,298.23,3010.42,607,Medium Risk
2024-01-01,1860,1235.33,0.0,650,Low Risk
2024-01-01,1861,20202.33,30193.87,773,Very Low Risk
2024-01-01,1863,877.63,0.0,686,Low Risk
2024-01-01,1866,1234.78,1858.27,643,Medium Risk
2024-01-01,1867,957.51,2595.5,543,High Risk
2024-01-01,1872,42587.67,0.0,739,Low Risk
2024-01-01,1880,4261.09,5605.72,668,Low Risk
2024-01-01,1883,7318.0,0.0,693,Low Risk
2024-01-01,1887,29309.94,89597.12,667,Low Risk
2024-01-01,1899,178.8,0.0,499,High Risk
2024-01-01,1902,4435.14,16488.81,559,Medium Risk
2024-01-01,1908,3404.32,11149.99,692,Low Risk
2024-01-01,1912,2548.18,0.0,697,Low Risk
2024-01-01,1916,1517.98,428.23,685,Low Risk
2024-01-01,1924,1015.27,5538.32,567,Medium Risk
2024-01-01,1932,576.51,0.0,626,Medium Risk
2024-01-01,1934,3014.12,7078.68,795,Very Low Risk
2024-01-01,1936,9566.14,13761.23,548,High Risk
2024-01-01,1937,1239.79,6535.81,435,Very High Risk
2024-01-01,1944,940.18,3174.82,637,Medium Risk
2024-01-01,1950,5691.1,0.0,626,Medium Risk
2024-01-01,1954,16492.31,0.0,637,Medium Risk
2024-01-01,1958,815.14,0.0,505,High Risk
2024-01-01,1959,10518.42,60122.52,850,Very Low Risk
2024-01-01,1963,1010.0,0.0,593,Medium Risk
2024-01-01,1966,1645.15,2040.24,725,Low Risk
2024-01-01,1967,581.56,0.0,672,Low Risk
2024-01-01,1972,961.92,0.0,711,Low Risk
2024-01-01,1975,1410.79,0.0,704,Low Risk
2024-01-01,1979,1209.83,0.0,578,Medium Risk
2024-01-01,1986,779.76,1964.67,723,Low Risk
2024-01-01,2002,316.65,0.0,621,Medium Risk
2024-01-01,2004,11210.42,0.0,540,High Risk
2024-01-01,2014,866.49,0.0,592,Medium Risk
2024-01-01,2023,11310.41,42310.55,808,Very Low Risk
2024-01-01,2024,565.01,0.0,687,Low Risk
2024-01-01,2026,303.66,0.0,654,Low Risk
2024-01-01,2028,16607.67,0.0,740,Low Risk
2024-01-01,2034,3936.03,13834.1,577,Medium Risk
2024-01-01,2035,2576.88,0.0,689,Low Risk
2024-01-01,2045,765.92,0.0,563,Medium Risk
2024-01-01,2053,22070.44,12974.21,719,Low Risk
2024-01-01,2057,6480.33,0.0,554,Medium Risk
2024-01-01,2058,20235.43,19929.28,789,Very Low Risk
2024-01-01,2061,799.74,0.0,655,Low Risk
2024-01-01,2063,1720.25,0.0,687,Low Risk
2024-01-01,2073,3025.53,7074.93,639,Medium Risk
2024-01-01,2075,2611.34,26905.59,602,Medium Risk
2024-01-01,2079,1757.81,0.0,628,Medium Risk
2024-01-01,2080,100.22,0.0,563,Medium Risk
2024-01-01,2083,343.16,0.0,662,Low Risk
2024-01-01,2084,8775.0,1644.36,623,Medium Risk
2024-01-01,2092,580.33,0.0,600,Medium Risk
2024-01-01,2101,15175.65,0.0,639,Medium Risk
2024-01-01,2109,1303.55,22715.62,481,High Risk
2024-01-01,2111,2018.96,0.0,781,Very Low Risk
2024-01-01,2132,8578.25,0.0,746,Low Risk
2024-01-01,2133,1693.56,11379.92,677,Low Risk
2024-01-01,2134,858.1,0.0,667,Low Risk
2024-01-01,2137,31609.75,0.0,784,Very Low Risk
2024-01-01,2149,5138.88,0.0,766,Very Low Risk
2024-01-01,2153,4214.49,3085.33,640,Medium Risk
2024-01-01,2160,5244.89,0.0,630,Medium Risk
2024-01-01,2166,2125.08,3113.96,777,Very Low Risk
2024-01-01,2173,650.9,0.0,639,Medium Risk
2024-01-01,2174,12573.11,13907.18,659,Low Risk
2024-01-01,2177,3030.25,0.0,671,Low Risk
2024-01-01,2186,4778.73,13072.08,850,Very Low Risk
2024-01-01,2226,19419.32,0.0,850,Very Low Risk
2024-01-01,2233,1904.32,29467.93,741,Low Risk
2024-01-01,2236,10049.21,8389.8,744,Low Risk
2024-01-01,2259,1314.73,62387.59,780,Very Low Risk
2024-01-01,2271,1262.19,0.0,756,Very Low Risk
2024-01-01,2279,1935.72,104590.86,774,Very Low Risk
2024-01-01,2285,911.43,2149.32,791,Very Low Risk
2024-01-01,2290,2052.64,0.0,653,Low Risk
2024-01-01,2294,132.15,0.0,511,High Risk
2024-01-01,2305,793.31,0.0,715,Low Risk
2024-01-01,2306,6578.0,0.0,699,Low Risk
2024-01-01,2326,668.63,1992.76,759,Very Low Risk
2024-01-01,2332,545.96,883.95,718,Low Risk
2024-01-01,2353,26928.47,11104.72,787,Very Low Risk
2024-01-01,2354,2901.21,0.0,758,Very Low Risk
2024-01-01,2356,4974.79,0.0,576,Medium Risk
2024-01-01,2358,4818.45,0.0,734,Low Risk
2024-01-01,2359,1490.49,2526.51,732,Low Risk
2024-01-01,2362,2594.05,25462.25,819,Very Low Risk
2024-01-01,2367,487.71,0.0,565,Medium Risk
2024-01-01,2377,545.87,0.0,656,Low Risk
2024-01-01,2380,629.46,1375.27,543,High Risk
2024-01-01,2387,1483.84,0.0,697,Low Risk
2024-01-01,2389,12074.29,0.0,777,Very Low Risk
2024-01-01,2391,1448.41,0.0,713,Low Risk
2024-01-01,2397,916.8,0.0,682,Low Risk
2024-01-01,2400,1555.89,0.0,676,Low Risk
2024-01-01,2406,13275.36,0.0,640,Medium Risk
2024-01-01,2411,1529.35,0.0,594,Medium Risk
2024-01-01,2417,11087.04,0.0,769,Very Low Risk
2024-01-01,2421,1551.75,0.0,730,Low Risk
2024-01-01,2422,21480.31,56597.47,692,Low Risk
2024-01-01,2423,5046.06,17962.35,779,Very Low Risk
2024-01-01,2424,16969.34,0.0,756,Very Low Risk
2024-01-01,2425,720.69,0.0,479,High Risk
2024-01-01,2426,9147.59,0.0,708,Low Risk
2024-01-01,2428,1100.94,4268.82,808,Very Low Risk
2024-01-01,2434,538.08,0.0,598,Medium Risk
2024-01-01,2438,42054.75,97344.5,716,Low Risk
2024-01-01,2441,8783.15,0.0,724,Low Risk
2024-01-01,2442,1097.65,0.0,704,Low Risk
2024-01-01,2443,802.84,1250.38,522,High Risk
2024-01-01,2450,11742.02,6153.57,711,Low Risk
2024-01-01,2451,11691.09,0.0,671,Low Risk
2024-01-01,2467,2093.15,8408.59,617,Medium Risk
2024-01-01,2469,524.99,0.0,648,Medium Risk
2024-01-01,2474,9738.45,2330.05,663,Low Risk
2024-01-01,2475,11687.74,0.0,766,Very Low Risk
2024-01-01,2483,18050.17,28490.05,656,Low Risk
2024-01-01,2489,12447.24,0.0,761,Very Low Risk
2024-01-01,2497,1375.27,0.0,762,Very Low Risk
2024-01-01,2500,2340.15,46346.46,729,Low Risk
2024-01-01,2505,490.13,0.0,804,Very Low Risk
2024-01-01,2508,9711.48,0.0,597,Medium Risk
2024-01-01,2515,62.35,0.0,595,Medium Risk
2024-01-01,2520,10200.14,0.0,735,Low Risk
2024-01-01,2526,2046.01,0.0,793,Very Low Risk
2024-01-01,2536,39602.12,83726.43,850,Very Low Risk
2024-01-01,2537,2943.72,28529.21,705,Low Risk
2024-01-01,2541,765.67,5711.61,561,Medium Risk
2024-01-01,2543,3844.68,2455.97,614,Medium Risk
2024-01-01,2544,5319.28,0.0,639,Medium Risk
2024-01-01,2546,5997.96,13681.03,690,Low Risk
2024-01-01,2554,488.84,2848.86,678,Low Risk
2024-01-01,2556,2267.96,5523.9,739,Low Risk
2024-01-01,2559,1647.56,27747.11,768,Very Low Risk
2024-01-01,2578,1061.52,1584.38,646,Medium Risk
2024-01-01,2586,1153.89,0.0,670,Low Risk
2024-01-01,2594,2121.94,3516.31,582,Medium Risk
2024-01-01,2600,1213.88,0.0,689,Low Risk
2024-01-01,2608,4401.07,0.0,634,Medium Risk
2024-01-01,2614,3143.2,0.0,667,Low Risk
2024-01-01,2630,4836.83,0.0,645,Medium Risk
2024-01-01,2632,5643.96,12914.42,750,Very Low Risk
2024-01-01,2640,5613.98,4701.67,741,Low Risk
2024-01-01,2642,132.86,0.0,477,High Risk
2024-01-01,2643,645.3,2007.1,734,Low Risk
2024-01-01,2646,431.73,3945.34,694,Low Risk
2024-01-01,2649,9368.87,0.0,704,Low Risk
2024-01-01,2656,3307.78,0.0,681,Low Risk
2024-01-01,2662,533.08,0.0,566,Medium Risk
2024-01-01,2665,4980.46,2599.1,638,Medium Risk
2024-01-01,2670,1316.3,0.0,790,Very Low Risk
2024-01-01,2672,2560.46,0.0,616,Medium Risk
2024-01-01,2673,558.84,2172.66,599,Medium Risk
2024-01-01,2674,437.56,12897.25,592,Medium Risk
2024-01-01,2676,3822.34,3839.11,825,Very Low Risk
2024-01-01,2678,2164.72,0.0,687,Low Risk
2024-01-01,2679,150.07,0.0,602,Medium Risk
2024-01-01,2683,956.82,0.0,673,Low Risk
2024-01-01,2685,14328.84,18184.33,691,Low Risk
2024-01-01,2687,1889.65,0.0,617,Medium Risk
